Part Number,Item Number,Product Name,Slug,Category,Brand,Vehicle Type,Product Type,Retail Price,Was Price / MSRP,Rating,Review Count,Compatible Bike Makes,Compatible Bike Models,Fitment Year / Range,Description,Specs & Features,Image URL,Canonical URL
10324912,P1057226,"Pirelli Diablo Supercorsa SP V4 Tires",pirelli-diablo-supercorsa-sp-v4-tires,Tires,Pirelli,"Street / Sportbike","Hypersport Dot / Road Race Dot And Non D / Multi Compound Tire / Dot Tire",199.66,267.55,5.00,37,"Honda, Yamaha, Kawasaki, Suzuki, BMW, Ducati, Triumph, Aprilia","Honda CBR600RR / CBR1000RR, Yamaha YZF-R6 / YZF-R1 / MT-07 / MT-09, Kawasaki Ninja 650 / ZX-6R / ZX-10R, Suzuki GSX-R600 / GSX-R1000, BMW S1000RR, Ducati Monster / Panigale",1998 - 2025,"Pirelli Diablo Supercorsa SP V4 Tires Now on to its fourth generation, completely revised from the ground up, the Pirelli Diablo Supercorsa SPV4 Tires are as close as you can get to a race tire that is still street legal. Using compounds and structure directly pulled from the tires used in the FIM Superbike World Championship. Pirelli's motto is in full display here ""we sell what we race, we race what we sell"" and when you lean into that race spec compound on the shoulder of the tires you'll feel it. Perfectly at home carving your way through a mountain pass or knee down at the track, the Supercorsa SP V4 tires will make you the only thing holding your bike back. Pirelli first started this series of tires to parallel the spirit of the World Superbike Championships, where you can buy the same motorcycles you see at the track for yourself. Then used the lessons learned and experience gained through years of its races to apply back into the design of the tire. Truly a race tire you can enjoy on the street.","FLASH grooves for homogeneous thrust at any lean angle and performance consistency turn after turn Compounds and profiles directly from the FIM World Superbike Championship for ultimate grip and lap time record setting Tire structure directly derived from World SBK Racing profiles directly derived from World SBK Outstanding riding ease, line holding and high speed stability Racing compound on the shoulders and slick road compound in the central band Homogeneous thrust at any lean angle and performance consistency turn after turn Optimized contact patch providing greater traction and precision when cornering Notes : It is recommended to change your valve stem, tube and/or rim strip when installing a new tire. Shop Here! Need your tire mounted? We’ve got you covered! Tire Mount Discount",https://www.cyclegear.com/_a/product_images/2092/9766/pirelli_diablo_supercorsa_spv4_tires.jpg,""
1591883,P673121,"Metzeler CruiseTec Tires",metzeler-cruisetec-tires,Tires,Metzeler,"Cruiser / V-Twin","Customcruisertouring Bi / Customcruisertouring Ra / Cruiser Tire / Harley Tire",153.51,202.45,4.70,415,"Harley-Davidson","Harley Sportster / Harley Fxfxr / Harley Street / Harley Touring / Harley V Rod / Harley Softail / Harley Dyna / Harley Dyna Fat Bo / Harley Dyna Street / Harley Dyna Super / Harley Dyna Switch / Harley Softail Del / Harley Softail Deu / Harley Softail Fat / Harley Softail Her / Harley Softail Nig / Harley Sportster 1 / Harley Sportster 8 / Harley Sportster I / Harley Touring Ele / Harley Touring Roa / Harley Touring Str",1990 - 2025,"Metzeler Cruisetec Tires The Cruisetec is the latest addition to Metzeler's line of cruiser tires. With a new aggressive tread pattern set in dual-compound rubber, the Cruisetec offer supreme handling in both dry and wet conditions. Featuring an all-new carcass specification, the Cruisetec provides excellent, predictable handling and cornering stability throughout corner entry and exit. This performance tire will not only help make use of all the extra power of performance cruisers but also improve the handling characteristics of cruisers of all shapes and pedigrees.","Dual compound rubber provides long lasting grip New compound has excellent grip, wet and dry Hi-performance carcass construction for smooth and predictable handling Tubeless ""I"" spec tire is the OE tire for Indian Challenger. Notes : It is recommended to change your valve stem, tube and/or rim strip when installing a new tire. Shop Here! Need your tire mounted? We’ve got you covered! Tire Mount Discount",https://www.cyclegear.com/_a/product_images/2089/6994/metzeler_cruisetec_tires.jpg,""
10267934,P1025678,"Dunlop Q5S Sportmax Tires",dunlop-q5s-sportmax-tires,Tires,Dunlop,"Street / Sportbike","Hypersport Dot / Multi Compound Tire / Dot Tire / Sportbike Tire",205.99,249.95,4.90,29,"Honda, Yamaha, Kawasaki, Suzuki, BMW, Ducati, Triumph, Aprilia","Honda CBR600RR / CBR1000RR, Yamaha YZF-R6 / YZF-R1 / MT-07 / MT-09, Kawasaki Ninja 650 / ZX-6R / ZX-10R, Suzuki GSX-R600 / GSX-R1000, BMW S1000RR, Ducati Monster / Panigale",1998 - 2025,"Dunlop Q5S Sportmax Tires The Dunlop Sportmax Q5S, in its fifth iteration, arrives as a DOT-compliant tire designed to meet the rigorous demands of both track-day enthusiasts and street riders. This tire is an evolution, drawing upon the favorable elements from the well-received Sportmax Q3+ and Dunlop's advanced MotoAmerica-spec road race tires. It incorporates Dunlop's prime technologies, resulting in a track and street tire that excels without compromise. The Q5S offers enhanced construction, profile, compounds, and tread pattern to deliver lighter, more agile handling and superior grip in both dry and wet conditions, all while providing exceptional feel regardless of the riding environment.","Even more user-friendly, as dry and wet grip, tire compliance, and warm-up times have all been improved New race tire derived compounds provide incredible grip Updated profiles increase footprints at more extreme lean angles to give you more tire on the road for more grip and less slip Made in USA Notes : It is recommended to change your valve stem, tube and/or rim strip when installing a new tire. Shop Here! Need your tire mounted? We’ve got you covered! Tire Mount Discount",https://www.cyclegear.com/_a/product_images/1919/9885/dunlop_q5_s_sportmax_tires_1800x1800.jpg,""
10202407,P986108,"Pirelli Diablo Rosso IV Corsa Tires",pirelli-diablo-rosso-iv-corsa-tires,Tires,Pirelli,"Street / Sportbike","Hypersport Dot / Dot Tire / Sportbike Tire / Multi Compound Tire",162.16,224.92,4.90,50,"Honda, Yamaha, Kawasaki, Suzuki, BMW, Ducati, Triumph, Aprilia","Honda CBR600RR / CBR1000RR, Yamaha YZF-R6 / YZF-R1 / MT-07 / MT-09, Kawasaki Ninja 650 / ZX-6R / ZX-10R, Suzuki GSX-R600 / GSX-R1000, BMW S1000RR, Ducati Monster / Panigale",1998 - 2025,"Pirelli Diablo Rosso IV Corsa Tires The fiercer version of the Diablo Rosso IV, the Diablo Rosso IV Corsa is intended for thrill seekers and bike-tuning enthusiasts looking for more than a supersport tire. Experience higher grip in dry conditions, enhanced hard handling and consistent performance even after multiple hard riding sessions.","Designed for supersport, naked and crossover motorcycles for aggressive road use Outstanding cornering support at extreme lean angles Increased tire solidity and lateral thrust while cornering Reduced number of lateral grooves, more rubber to the road at mid-lean Dual compound layout with soft shoulders for both front and rear tires Blackwall Tubeless (TL) W-rated for speeds of 168+ MPH Notes : It is recommended to change your valve stem, tube and/or rim strip when installing a new tire. Shop Here! Need your tire mounted? We’ve got you covered! Tire Mount Discount",https://www.cyclegear.com/_a/product_images/1829/6167/pirelli_diablo_rosso_iv_corsa_tires.jpg,""
1035046,P302824,"Dunlop Sportmax GPR300 Tires",dunlop-sportmax-gpr300-tires,Tires,Dunlop,"Street / Sportbike","Hypersport Dot / Sportbike Tire / Dot Tire",125.99,160.95,4.70,84,"Honda, Yamaha, Kawasaki, Suzuki, BMW, Ducati, Triumph, Aprilia","Honda CBR600RR / CBR1000RR, Yamaha YZF-R6 / YZF-R1 / MT-07 / MT-09, Kawasaki Ninja 650 / ZX-6R / ZX-10R, Suzuki GSX-R600 / GSX-R1000, BMW S1000RR, Ducati Monster / Panigale",1998 - 2025,"Dunlop Sportmax GPR300 Tires The Sportmax GPR-300 is a high-performance choice for smaller sport bikes that want the most out of their tires.","Radial tire technology helps to provide enhanced grip in wet and dry conditions Optimized construction to enhance handling and responsiveness for street-going sport riding Advanced belt design and Jointless Band (JLB) rear tire construction utilizes a continuously wound belt for smooth performance and a consistent tire contact patch Aggressive sport-derived tread pattern for enhanced on-bike appearance Notes : It is recommended to change your valve stem, tube and/or rim strip when installing a new tire. Shop Here! Need your tire mounted? We’ve got you covered! Tire Mount Discount",https://www.cyclegear.com/_a/product_images/1836/0773/dunlop_sportmax_gpr300_tires_rear.jpg,""
1088358,P326475,"Pirelli Diablo Rosso III Tires",pirelli-diablo-rosso-iii-tires,Tires,Pirelli,"Street / Sportbike","Hypersport Dot / Sportbike Tire / Multi Compound Tire / Dot Tire",140.32,185.74,4.90,49,"Honda, Yamaha, Kawasaki, Suzuki, BMW, Ducati, Triumph, Aprilia","Honda CBR600RR / CBR1000RR, Yamaha YZF-R6 / YZF-R1 / MT-07 / MT-09, Kawasaki Ninja 650 / ZX-6R / ZX-10R, Suzuki GSX-R600 / GSX-R1000, BMW S1000RR, Ducati Monster / Panigale",1998 - 2025,"Pirelli Diablo Rosso III Rear Tires","Pirelli technology from the World Superbike Championship Unprecedented handling for a generation of sport behavior WSBK-derived profile for agile response, quick turn-in and transitions ""Flash"" racing tread pattern promotes uniform wear for performance consistency throughout the tire's life Bi-compound design with a wide race compound strip offering full grip from mid-lean angle High-performance silica compounds improve grip across a wide range of temperatures for optimal grip in all conditions Large footprint area for improved adherence Blackwall Tubeless (TL) W-rated for speeds of 168+ MPH Notes : It is recommended to change your valve stem, tube and/or rim strip when installing a new tire. Shop Here! Need your tire mounted? We’ve got you covered! Tire Mount Discount",https://www.cyclegear.com/_a/product_images/1418/2506/pirelli_diablo_rosso_iii_front_tires.jpg,""
1776952,P824886,"Dunlop Trailmax Mission Tires",dunlop-trailmax-mission-tires,Tires,Dunlop,"Adventure / Dual Sport","Dual Road Bias Dot / 60 On Road 40 Off Road / 50 On Road 50 Off Road / Dual Sport Tire",163.99,199.95,4.70,279,"Honda, Yamaha, KTM, Kawasaki, Suzuki, Husqvarna, GasGas","Honda CRF250R / CRF450R, Yamaha YZ250F / YZ450F, KTM 250 SX-F / 450 SX-F, Kawasaki KX250 / KX450, Suzuki RM-Z250 / RM-Z450, Husqvarna FC 250 / FC 450",1995 - 2025,"Dunlop Trailmax Mission Tires The Dunlop Trailmax Mission Tire is a ""50/50"" adventure tire that is ready for even the biggest ADV rigs. Dunlop's ""Staggered Step"" tread pattern delivers sure-footed wet weather road carving and predictable grip on the trails via the large, deep tread pattern. Tread blocks that wrap up and around the sidewall increase puncture resistance and traction while adding to the tire's technical appearance. Revised rubber compounds help extend tire life.","50% on-road and 50% off-road performance Tread blocks feature Dunlop's ""Staggered Step"" design Wraparound lugs reduce punctures and add grip Deep grooves improve wet weather grip and offer a more aggressive biting edge off-road Improved tread compounds balance off-road performance with class leading mileage Notes : It is recommended to change your valve stem, tube and/or rim strip when installing a new tire. Shop Here! Need your tire mounted? We’ve got you covered! Tire Mount Discount",https://www.cyclegear.com/_a/product_images/1353/3029/dunlop_trailmax_mission_tires.jpg,""
1790970,P836176,"Michelin Commander III Cruiser Tires",michelin-commander-iii-cruiser-tires,Tires,Michelin Tires,"Adventure / Dual Sport / Cruiser / V-Twin","Customcruisertouring Ra / Cruiser Tire / Harley Tire / Touring Tire",170.99,229.99,4.70,226,"Harley-Davidson","Harley Sportster / Harley Fxfxr / Harley Street / Harley Touring / Harley V Rod / Harley Softail / Harley Dyna / Harley Dyna Fat Bo / Harley Dyna Street / Harley Dyna Super / Harley Dyna Switch / Harley Softail Del / Harley Softail Deu / Harley Softail Fat / Harley Softail Her / Harley Softail Nig / Harley Sportster 1 / Harley Sportster 8 / Harley Sportster I / Harley Touring Ele / Harley Touring Roa / Harley Touring Str",1990 - 2025,"Michelin Commander 3 Cruiser Tires Engineered for V-twin and custom cruisers seeking head turning style and trusted performance Silica Rain Technology for outstanding wet grip and even wear patterns Amplified Density Technology for sharp handling and solid road feedback Aramid fiber crown ply for durability, high speed stability and reduced weight Improved wet performance and legendary mileage, even better than the Commander II Optimized tread grooves effectively channel water for excellent wet road confidence Premium ''velvet'' sidewall detailing enhances your bike's custom look Square bead wires for improved rigidity, handling and straightforward installation Available in ""Reinforced"" for heavyweight touring bikes, two-up riding, or when required by OEM specifications Please Note: The Commander III ""Touring"" and Commander III ""Cruiser"" are unique tires. Each model features a specific set of sizes, distinct sidewall designs and slightly different tread patterns. Notes : It is recommended to change your valve stem, tube and/or rim strip when installing a new tire. Shop Here! Need your tire mounted? We’ve got you covered! Tire Mount Discount The Michelin Commander III Cruiser Tire carries forward the legacy of its legendary predecessor, the Commander II, setting a new standard for V-twin and custom cruiser tires. True to Michelin's 'Total Performance' promise, the Commander III Cruiser delivers an unbeatable combination of dry road authority, enhanced wet weather grip and exceptional longevity. Building on the Commander II's renowned durability (proven capable of up to 25,000 miles), this new generation tire gives cruiser riders the confidence to roll on, backed by performance that doesn't quit and looks that turn heads. It’s the new legend for your cruiser. Exceptional Longevity Building on legendary mileage, the Commander III Cruiser offers even greater tread life. Silica Rain Tech ensures even wear, while the aramid ply adds durability for countless miles of style. Solid Handling & Stability Amplified Density Technology provides a rigid casing for excellent feedback and responsive handling. The high density carcass and aramid plies ensure V-twin stability and nimble control on any road. Confident Wet Grip Ride confidently in the rain. Silica Rain Technology delivers outstanding wet grip, while deep tread grooves efficiently evacuate water. Stay planted and in control, whatever the weather. Cruiser Style & Performance Get the complete package with impressive grip, long tread life and stable handling. The unique tread pattern and premium 'velvet' sidewalls ensure your V-twin looks as great as it performs.","N/A",https://www.cyclegear.com/_a/product_images/2062/5096/michelin_commander_iii_cruiser_tires.jpg,""
10144070,P955302,"Michelin Road 6 Tires",michelin-road-6-tires,Tires,Michelin Tires,"Adventure / Dual Sport / Street / Sportbike","Sport Touring Radial Do / Touring Tire / Sportbike Tire / Multi Compound Tire",208.99,284.95,4.70,292,"BMW, KTM, Honda, Yamaha, Triumph, Suzuki, Ducati, Kawasaki, Husqvarna","BMW R1200GS / R1250GS / F850GS, KTM 1290 Super Adventure / 890 Adventure, Honda Africa Twin / CRF300L, Yamaha Ténéré 700, Triumph Tiger 900 / 1200, Suzuki V-Strom 650, Kawasaki KLR650",2000 - 2025,"Michelin Road 6 Tires Patented Water Evergrip Tech tread pattern for exceptional water evacuation Patented Silica Technology tread compound for consistent grip Michelin's 2CT+ Tech (front and rear) for better rigidity and stability through corners for confident handling Delivers 15% more wet grip than Road 5 Delivers 10% longer tread life than the Road 5 Superb grip in both wet and dry conditions Designed for consistent performance throughout the tire's life Notes : It is recommended to change your valve stem, tube and/or rim strip when installing a new tire. Shop Here! Need your tire mounted? We’ve got you covered! Tire Mount Discount The Michelin Road 6 continues the legendary Road series, offering exceptional cornering and mileage, rain or shine. Featuring 2CT+ Tech in front and rear for enhanced lean rigidity and cornering stability, the Road 6 embodies two decades of innovation for the ultimate all around street tire. Exceptional Wet Grip Ride confidently in the wet. The Road 6 combines Silica Technology and Water Evergrip Tech for 15% more wet grip than the Road 5. Experience secure handling and improved braking, keeping you connected in any weather. Confident Cornering Conquer turns with the Road 6. Now with 2CT+ Technology in both front and rear tires, experience enhanced lean rigidity and stability. Enjoy precise feedback and confident control through every corner. Proven Reliability Go the distance with the Road 6. Enjoy 10% longer tread life than the Road 5, thanks to two decades of Michelin innovation. This tire offers lasting performance and reliability for countless miles of riding. Legendary Performance The Road 6 continues its iconic lineage, elevating the renowned Road series performance. It delivers an unmatched blend of grip, longevity, and stability, making it the ultimate all around tire for diverse street riding.","N/A",https://www.cyclegear.com/_a/product_images/2062/6830/michelin_road6_tires.jpg,""
880485,P237529,"Pirelli Angel GT Tires",pirelli-angel-gt-tires,Tires,Pirelli,"Street / Sportbike / Adventure / Dual Sport","Sport Touring Radial Do / Sportbike Tire / Touring Tire / Dot Tire",162.48,221.68,4.70,116,"BMW, KTM, Honda, Yamaha, Triumph, Suzuki, Ducati, Kawasaki, Husqvarna","BMW R1200GS / R1250GS / F850GS, KTM 1290 Super Adventure / 890 Adventure, Honda Africa Twin / CRF300L, Yamaha Ténéré 700, Triumph Tiger 900 / 1200, Suzuki V-Strom 650, Kawasaki KLR650",2000 - 2025,"Pirelli Angel GT Tires The Pirelli Angel GT Tires have been setting a higher standard for sport touring and commuter bikes. Featuring high mileage along with legendary Pirelli performance, the Angel GT Tires are the perfect addition to modern sport and sport touring bikes. The dual compound gives you the performance and handling you need in the corners, while the center of the tire provides longer tire life and superior traction.","(W)-rated for speeds of 168+ mph (V)-rated for speeds up to 149 mph Ideal for sport riders looking for increased mileage without sacrificing grip and traction Extended Mileage Sport (EMS) tires provide best-in-class for mileage and grip Rear tires feature new Bi-compound formula improves cornering traction Available in ""Reinforced"" for heavyweight touring bikes, two-up riding, or when required by OEM specifications ""A Spec"" tires feature a reinforced, 2-ply carcass Improved wet grip Tubeless Notes : It is recommended to change your valve stem, tube and/or rim strip when installing a new tire. Shop Here! Need your tire mounted? We’ve got you covered! Tire Mount Discount",https://www.cyclegear.com/_a/product_images/0048/3727/pirelli_angel_gt_front_tires.jpg,""
