sku,name,brand,category_id,vehicle_type,product_type,compatible_makes,compatible_models,fitment_year_range,item_number,primary_image,gallery_images,custom_attributes,Year,Make,Model,Position,Vendor Part Number
10324912,Pirelli Diablo Supercorsa SP V4 Tires,Pirelli,1,Street Bike,Hypersport Dot / Road Race Dot And Non D / Multi Compound Tire / Dot Tire,Honda,"Honda CBR600RR / CBR1000RR, Yamaha YZF-R6 / YZF-R1 / MT-07 / MT-09, Kawasaki Ninja 650 / ZX-6R / ZX-10R, Suzuki GSX-R600 / GSX-R1000, BMW S1000RR, Ducati Monster / Panigale",1998 - 2025,P1057226,https://americaapi.kaafifoods.com/storage/products/pirelli_diablo_supercorsa_spv4_tires.webp,['https://americaapi.kaafifoods.com/storage/products/pirelli_diablo_supercorsa_spv4_tires.webp'],"{""Wheel Location"": ""Front; Rear"", ""Type"": ""Street Bike"", ""Product Type"": ""Hypersport Dot / Road Race Dot And Non D / Multi Compound Tire / Dot Tire"", ""Make"": ""Honda"", ""Model"": ""Honda CBR600RR / CBR1000RR, Yamaha YZF-R6 / YZF-R1 / MT-07 / MT-09, Kawasaki Ninja 650 / ZX-6R / ZX-10R, Suzuki GSX-R600 / GSX-R1000, BMW S1000RR, Ducati Monster / Panigale"", ""Tire Size"": ""110/70ZR17 54W; 120/70ZR17 58W; 140/70ZR17 66W; 150/60ZR17 66W; 180/55ZR17 73W; 180/60ZR17 75W; 190/50ZR17 73W; 190/55ZR17 75W; 200/55ZR17 78W; 200/60ZR17 80W""}",1998 - 2025,Honda,"Honda CBR600RR / CBR1000RR, Yamaha YZF-R6 / YZF-R1 / MT-07 / MT-09, Kawasaki Ninja 650 / ZX-6R / ZX-10R, Suzuki GSX-R600 / GSX-R1000, BMW S1000RR, Ducati Monster / Panigale","Front, Rear",10324912
1591883,Metzeler CruiseTec Tires,Metzeler,1,Street Bike,Customcruisertouring Bi / Customcruisertouring Ra / Cruiser Tire / Harley Tire,Harley-Davidson,Harley Sportster / Harley Fxfxr / Harley Street / Harley Touring / Harley V Rod / Harley Softail / Harley Dyna / Harley Dyna Fat Bo / Harley Dyna Street / Harley Dyna Super / Harley Dyna Switch / Harley Softail Del / Harley Softail Deu / Harley Softail Fat / Harley Softail Her / Harley Softail Nig / Harley Sportster 1 / Harley Sportster 8 / Harley Sportster I / Harley Touring Ele / Harley Touring Roa / Harley Touring Str,1990 - 2025,P673121,https://americaapi.kaafifoods.com/storage/products/metzeler_cruisetec_tires.webp,"['https://americaapi.kaafifoods.com/storage/products/metzeler_cruisetec_tires.webp', 'https://americaapi.kaafifoods.com/storage/products/metzeler_cruisetec65_h.webp']","{""Wheel Location"": ""Rear; Front"", ""Type"": ""Street Bike"", ""Product Type"": ""Customcruisertouring Bi / Customcruisertouring Ra / Cruiser Tire / Harley Tire"", ""Make"": ""Harley-Davidson"", ""Model"": ""Harley Sportster / Harley Fxfxr / Harley Street / Harley Touring / Harley V Rod / Harley Softail / Harley Dyna / Harley Dyna Fat Bo / Harley Dyna Street / Harley Dyna Super / Harley Dyna Switch / Harley Softail Del / Harley Softail Deu / Harley Softail Fat / Harley Softail Her / Harley Softail Nig / Harley Sportster 1 / Harley Sportster 8 / Harley Sportster I / Harley Touring Ele / Harley Touring Roa / Harley Touring Str"", ""Tire Size"": ""140/75R15 65H TL; 130/90B16 73H TL; MT90B16 72H TL; MT90B16 74H TL; MU85B16 77H TL; 150/80-16 71H TL; 150/80B16 77H TL; 180/60R16 80H TL; 180/60R16 80H TL I-spec; 180/65B16 81H TL; 180/70R16 77V TL; 180/70B16 77H TL; 200/55R16 77H TL; 240/50R16 84V TL; 100/80-17 52H TL; 130/80B17 65H TL; 150/80R17 72V TL; 160/70B17 79V TL; 160/70R17 73V TL; 200/55R17 78V TL; 130/70B18 63H TL; 130/70R18 63H TL; 150/70B18 76H TL; 160/60R18 70V TL; 180/55B18 80H TL; 180/55ZR18 74W TL; 240/40VR18 79V TL; 260/40VR18 84V TL; 100/90-19 57H TL; 110/90-19 62H TL; 120/70ZR19 60W TL; 130/60B19 61H TL; 130/60B19 66H; MH90-21 54H TL; 120/70B21 68H TL; 130/60B21 63H TL""}",1990 - 2025,Harley-Davidson,Harley Sportster / Harley Fxfxr / Harley Street / Harley Touring / Harley V Rod / Harley Softail / Harley Dyna / Harley Dyna Fat Bo / Harley Dyna Street / Harley Dyna Super / Harley Dyna Switch / Harley Softail Del / Harley Softail Deu / Harley Softail Fat / Harley Softail Her / Harley Softail Nig / Harley Sportster 1 / Harley Sportster 8 / Harley Sportster I / Harley Touring Ele / Harley Touring Roa / Harley Touring Str,"Front, Rear",1591883
10267934,Dunlop Q5S Sportmax Tires,Dunlop,1,Street Bike,Hypersport Dot / Multi Compound Tire / Dot Tire / Sportbike Tire,Honda,"Honda CBR600RR / CBR1000RR, Yamaha YZF-R6 / YZF-R1 / MT-07 / MT-09, Kawasaki Ninja 650 / ZX-6R / ZX-10R, Suzuki GSX-R600 / GSX-R1000, BMW S1000RR, Ducati Monster / Panigale",1998 - 2025,P1025678,https://americaapi.kaafifoods.com/storage/products/dunlop_q5_s_sportmax_tires_1800x1800.webp,"['https://americaapi.kaafifoods.com/storage/products/dunlop_q5_s_sportmax_tires_1800x1800.webp', 'https://americaapi.kaafifoods.com/storage/products/dunlop_q5_s_sportmax_tires.webp']","{""Wheel Location"": ""Rear; Front"", ""Type"": ""Street Bike"", ""Product Type"": ""Hypersport Dot / Multi Compound Tire / Dot Tire / Sportbike Tire"", ""Make"": ""Honda"", ""Model"": ""Honda CBR600RR / CBR1000RR, Yamaha YZF-R6 / YZF-R1 / MT-07 / MT-09, Kawasaki Ninja 650 / ZX-6R / ZX-10R, Suzuki GSX-R600 / GSX-R1000, BMW S1000RR, Ducati Monster / Panigale"", ""Tire Size"": ""110/70ZR17 54W; 120/70ZR17 58W; 140/70ZR17 66W; 150/60ZR17 66W; 160/60ZR17 69W; 180/55ZR17 73W; 190/50ZR17 73W; 190/55ZR17 75W; 200/55ZR17 78W""}",1998 - 2025,Honda,"Honda CBR600RR / CBR1000RR, Yamaha YZF-R6 / YZF-R1 / MT-07 / MT-09, Kawasaki Ninja 650 / ZX-6R / ZX-10R, Suzuki GSX-R600 / GSX-R1000, BMW S1000RR, Ducati Monster / Panigale","Front, Rear",10267934
10202407,Pirelli Diablo Rosso IV Corsa Tires,Pirelli,1,Street Bike,Hypersport Dot / Dot Tire / Sportbike Tire / Multi Compound Tire,Honda,"Honda CBR600RR / CBR1000RR, Yamaha YZF-R6 / YZF-R1 / MT-07 / MT-09, Kawasaki Ninja 650 / ZX-6R / ZX-10R, Suzuki GSX-R600 / GSX-R1000, BMW S1000RR, Ducati Monster / Panigale",1998 - 2025,P986108,https://americaapi.kaafifoods.com/storage/products/pirelli_diablo_rosso_iv_corsa_tires.webp,['https://americaapi.kaafifoods.com/storage/products/pirelli_diablo_rosso_iv_corsa_tires.webp'],"{""Wheel Location"": ""Front; Rear"", ""Type"": ""Street Bike"", ""Product Type"": ""Hypersport Dot / Dot Tire / Sportbike Tire / Multi Compound Tire"", ""Make"": ""Honda"", ""Model"": ""Honda CBR600RR / CBR1000RR, Yamaha YZF-R6 / YZF-R1 / MT-07 / MT-09, Kawasaki Ninja 650 / ZX-6R / ZX-10R, Suzuki GSX-R600 / GSX-R1000, BMW S1000RR, Ducati Monster / Panigale"", ""Tire Size"": ""110/70ZR17 54W; 120/70ZR17 58W; 150/60ZR17 66W; 180/55ZR17 73W; 180/60ZR17 75W; 190/50ZR17 73W; 190/55ZR17 75W; 200/55ZR17 78W; 200/60ZR17 80W""}",1998 - 2025,Honda,"Honda CBR600RR / CBR1000RR, Yamaha YZF-R6 / YZF-R1 / MT-07 / MT-09, Kawasaki Ninja 650 / ZX-6R / ZX-10R, Suzuki GSX-R600 / GSX-R1000, BMW S1000RR, Ducati Monster / Panigale","Front, Rear",10202407
1035046,Dunlop Sportmax GPR300 Tires,Dunlop,1,Street Bike,Hypersport Dot / Sportbike Tire / Dot Tire,Honda,"Honda CBR600RR / CBR1000RR, Yamaha YZF-R6 / YZF-R1 / MT-07 / MT-09, Kawasaki Ninja 650 / ZX-6R / ZX-10R, Suzuki GSX-R600 / GSX-R1000, BMW S1000RR, Ducati Monster / Panigale",1998 - 2025,P302824,https://americaapi.kaafifoods.com/storage/products/dunlop_sportmax_gpr300_tires_rear.webp,"['https://americaapi.kaafifoods.com/storage/products/dunlop_sportmax_gpr300_tires_rear.webp', 'https://americaapi.kaafifoods.com/storage/products/dunlop_sportmax_gpr300_tires_front.webp']","{""Wheel Location"": ""Rear; Front"", ""Type"": ""Street Bike"", ""Product Type"": ""Hypersport Dot / Sportbike Tire / Dot Tire"", ""Make"": ""Honda"", ""Model"": ""Honda CBR600RR / CBR1000RR, Yamaha YZF-R6 / YZF-R1 / MT-07 / MT-09, Kawasaki Ninja 650 / ZX-6R / ZX-10R, Suzuki GSX-R600 / GSX-R1000, BMW S1000RR, Ducati Monster / Panigale"", ""Tire Size"": ""110/70R17 54H; 120/60ZR17 55W; 120/70ZR17 58W; 140/70R17 66H; 150/60R17 66H; 160/60ZR17 69W; 180/55ZR17 73W; 190/50ZR17 73W; 190/55ZR17 75W""}",1998 - 2025,Honda,"Honda CBR600RR / CBR1000RR, Yamaha YZF-R6 / YZF-R1 / MT-07 / MT-09, Kawasaki Ninja 650 / ZX-6R / ZX-10R, Suzuki GSX-R600 / GSX-R1000, BMW S1000RR, Ducati Monster / Panigale","Front, Rear",1035046
1088358,Pirelli Diablo Rosso III Tires,Pirelli,1,Street Bike,Hypersport Dot / Sportbike Tire / Multi Compound Tire / Dot Tire,Honda,"Honda CBR600RR / CBR1000RR, Yamaha YZF-R6 / YZF-R1 / MT-07 / MT-09, Kawasaki Ninja 650 / ZX-6R / ZX-10R, Suzuki GSX-R600 / GSX-R1000, BMW S1000RR, Ducati Monster / Panigale",1998 - 2025,P326475,https://americaapi.kaafifoods.com/storage/products/pirelli_diablo_rosso_iii_front_tires.webp,"['https://americaapi.kaafifoods.com/storage/products/pirelli_diablo_rosso_iii_front_tires.webp', 'https://americaapi.kaafifoods.com/storage/products/pirelli_diablo_rosso_iii_tires.webp', 'https://americaapi.kaafifoods.com/storage/products/pirelli_diablo_rosso_iii_rear_tires.webp', 'https://americaapi.kaafifoods.com/storage/products/pirelli_tire24045_zr17_rd_rosso_iii.webp']","{""Wheel Location"": ""Front; Rear"", ""Type"": ""Street Bike"", ""Product Type"": ""Hypersport Dot / Sportbike Tire / Multi Compound Tire / Dot Tire"", ""Make"": ""Honda"", ""Model"": ""Honda CBR600RR / CBR1000RR, Yamaha YZF-R6 / YZF-R1 / MT-07 / MT-09, Kawasaki Ninja 650 / ZX-6R / ZX-10R, Suzuki GSX-R600 / GSX-R1000, BMW S1000RR, Ducati Monster / Panigale"", ""Tire Size"": ""110/70ZR17 54W TL; 120/60ZR17 55W TL; 120/70ZR17 58W TL; 120/70ZR17 58W TL D-Spec; 140/70/R17 66H TL; 150/60ZR17 66W TL; 160/60ZR17 69W TL; 180/55ZR17 73W TL; 180/60ZR17 75W TL; 190/50ZR17 73W TL; 190/55ZR17 75W TL; 200/55ZR17 78W TL; 240/45ZR17 82W TL""}",1998 - 2025,Honda,"Honda CBR600RR / CBR1000RR, Yamaha YZF-R6 / YZF-R1 / MT-07 / MT-09, Kawasaki Ninja 650 / ZX-6R / ZX-10R, Suzuki GSX-R600 / GSX-R1000, BMW S1000RR, Ducati Monster / Panigale","Front, Rear",1088358
1776952,Dunlop Trailmax Mission Tires,Dunlop,1,Dirt Bike,Dual Road Bias Dot / 60 On Road 40 Off Road / 50 On Road 50 Off Road / Dual Sport Tire,Honda,"Honda CRF250R / CRF450R, Yamaha YZ250F / YZ450F, KTM 250 SX-F / 450 SX-F, Kawasaki KX250 / KX450, Suzuki RM-Z250 / RM-Z450, Husqvarna FC 250 / FC 450",1995 - 2025,P824886,https://americaapi.kaafifoods.com/storage/products/dunlop_trailmax_mission_tires.webp,['https://americaapi.kaafifoods.com/storage/products/dunlop_trailmax_mission_tires.webp'],"{""Wheel Location"": ""Front; Rear"", ""Type"": ""Dirt Bike"", ""Product Type"": ""Dual Road Bias Dot / 60 On Road 40 Off Road / 50 On Road 50 Off Road / Dual Sport Tire"", ""Make"": ""Honda"", ""Model"": ""Honda CRF250R / CRF450R, Yamaha YZ250F / YZ450F, KTM 250 SX-F / 450 SX-F, Kawasaki KX250 / KX450, Suzuki RM-Z250 / RM-Z450, Husqvarna FC 250 / FC 450"", ""Tire Size"": ""120/90-17 64T TL; 130/80B17 65T TL; 150/70B17 69T TL; 170/60B17 72T TL; 140/80B18 70T TL; 150/70B18 70T TL; 100/90-19 57T TL; 110/80-19 59T TL; 120/70B19 60T TL; 90/90-21 54T TL""}",1995 - 2025,Honda,"Honda CRF250R / CRF450R, Yamaha YZ250F / YZ450F, KTM 250 SX-F / 450 SX-F, Kawasaki KX250 / KX450, Suzuki RM-Z250 / RM-Z450, Husqvarna FC 250 / FC 450","Front, Rear",1776952
1790970,Michelin Commander III Cruiser Tires,Michelin Tires,1,Dirt Bike,Customcruisertouring Ra / Cruiser Tire / Harley Tire / Touring Tire,Harley-Davidson,Harley Sportster / Harley Fxfxr / Harley Street / Harley Touring / Harley V Rod / Harley Softail / Harley Dyna / Harley Dyna Fat Bo / Harley Dyna Street / Harley Dyna Super / Harley Dyna Switch / Harley Softail Del / Harley Softail Deu / Harley Softail Fat / Harley Softail Her / Harley Softail Nig / Harley Sportster 1 / Harley Sportster 8 / Harley Sportster I / Harley Touring Ele / Harley Touring Roa / Harley Touring Str,1990 - 2025,P836176,https://americaapi.kaafifoods.com/storage/products/michelin_commander_iii_cruiser_tires.webp,['https://americaapi.kaafifoods.com/storage/products/michelin_commander_iii_cruiser_tires.webp'],"{""Wheel Location"": ""Front; Rear"", ""Type"": ""Dirt Bike"", ""Product Type"": ""Customcruisertouring Ra / Cruiser Tire / Harley Tire / Touring Tire"", ""Make"": ""Harley-Davidson"", ""Model"": ""Harley Sportster / Harley Fxfxr / Harley Street / Harley Touring / Harley V Rod / Harley Softail / Harley Dyna / Harley Dyna Fat Bo / Harley Dyna Street / Harley Dyna Super / Harley Dyna Switch / Harley Softail Del / Harley Softail Deu / Harley Softail Fat / Harley Softail Her / Harley Softail Nig / Harley Sportster 1 / Harley Sportster 8 / Harley Sportster I / Harley Touring Ele / Harley Touring Roa / Harley Touring Str"", ""Tire Size"": ""140/90B15 76H Reinforced TL/TT; 150/90B15 74H TL/TT; 170/80B15 77H TL/TT; 180/70B15 76H TL/TT; 130/90B16 73H Reinforced TL/TT; 140/90B16 77H Reinforced TL/TT; 150/80B16 77H Reinforced TL/TT; 140/75R17 67V TL; 160/70B17 73V TL/TT; 200/55R17 78V TL; 100/90B19 57H TL/TT; 110/90B19 62H TL/TT; 80/90B21 54H Reinforced TL/TT; 90/90B21 54H TL/TT""}",1990 - 2025,Harley-Davidson,Harley Sportster / Harley Fxfxr / Harley Street / Harley Touring / Harley V Rod / Harley Softail / Harley Dyna / Harley Dyna Fat Bo / Harley Dyna Street / Harley Dyna Super / Harley Dyna Switch / Harley Softail Del / Harley Softail Deu / Harley Softail Fat / Harley Softail Her / Harley Softail Nig / Harley Sportster 1 / Harley Sportster 8 / Harley Sportster I / Harley Touring Ele / Harley Touring Roa / Harley Touring Str,"Front, Rear",1790970
10144070,Michelin Road 6 Tires,Michelin Tires,1,Dirt Bike,Sport Touring Radial Do / Touring Tire / Sportbike Tire / Multi Compound Tire,Honda,"BMW R1200GS / R1250GS / F850GS, KTM 1290 Super Adventure / 890 Adventure, Honda Africa Twin / CRF300L, Yamaha Ténéré 700, Triumph Tiger 900 / 1200, Suzuki V-Strom 650, Kawasaki KLR650",2000 - 2025,P955302,https://americaapi.kaafifoods.com/storage/products/michelin_road6_tires.webp,['https://americaapi.kaafifoods.com/storage/products/michelin_road6_tires.webp'],"{""Wheel Location"": ""Front; Rear"", ""Type"": ""Dirt Bike"", ""Product Type"": ""Sport Touring Radial Do / Touring Tire / Sportbike Tire / Multi Compound Tire"", ""Make"": ""Honda"", ""Model"": ""BMW R1200GS / R1250GS / F850GS, KTM 1290 Super Adventure / 890 Adventure, Honda Africa Twin / CRF300L, Yamaha T\u00e9n\u00e9r\u00e9 700, Triumph Tiger 900 / 1200, Suzuki V-Strom 650, Kawasaki KLR650"", ""Tire Size"": ""110/70ZR17 54W; 120/60ZR17 55W; 120/70ZR17 58W; 140/70ZR17 66W; 150/60ZR17 66W; 150/70ZR17 69W; 160/60ZR17 69W; 170/60ZR17 72W; 180/55ZR17 73W; 190/50ZR17 73W; 190/55ZR17 75W; 120/70ZR18 59W; 110/80ZR19 59W; 120/70ZR19 60W""}",2000 - 2025,Honda,"BMW R1200GS / R1250GS / F850GS, KTM 1290 Super Adventure / 890 Adventure, Honda Africa Twin / CRF300L, Yamaha Ténéré 700, Triumph Tiger 900 / 1200, Suzuki V-Strom 650, Kawasaki KLR650","Front, Rear",10144070
880485,Pirelli Angel GT Tires,Pirelli,1,Dirt Bike,Sport Touring Radial Do / Sportbike Tire / Touring Tire / Dot Tire,Honda,"BMW R1200GS / R1250GS / F850GS, KTM 1290 Super Adventure / 890 Adventure, Honda Africa Twin / CRF300L, Yamaha Ténéré 700, Triumph Tiger 900 / 1200, Suzuki V-Strom 650, Kawasaki KLR650",2000 - 2025,P237529,https://americaapi.kaafifoods.com/storage/products/pirelli_angel_gt_front_tires.webp,"['https://americaapi.kaafifoods.com/storage/products/pirelli_angel_gt_front_tires.webp', 'https://americaapi.kaafifoods.com/storage/products/pirelli_angel_gt_tires.webp', 'https://americaapi.kaafifoods.com/storage/products/pirelli_angel_gt_rear_tires.webp']","{""Wheel Location"": ""Front; Rear"", ""Type"": ""Dirt Bike"", ""Product Type"": ""Sport Touring Radial Do / Sportbike Tire / Touring Tire / Dot Tire"", ""Make"": ""Honda"", ""Model"": ""BMW R1200GS / R1250GS / F850GS, KTM 1290 Super Adventure / 890 Adventure, Honda Africa Twin / CRF300L, Yamaha T\u00e9n\u00e9r\u00e9 700, Triumph Tiger 900 / 1200, Suzuki V-Strom 650, Kawasaki KLR650"", ""Tire Size"": ""120/70ZR17 58W; 120/70ZR17 58W A Spec; 150/70R17 69V; 160/60ZR17 69W; 180/55ZR17 73W; 180/55ZR17 73W A Spec; 190/50ZR17 73W; 190/50ZR17 73W A Spec; 190/55ZR17 75W; 190/55ZR17 75W A Spec; 190/55ZR17 75W D Spec; 110/80ZR18 58W; 120/70ZR18 59W; 160/60ZR18 70W; 110/80R19 59V""}",2000 - 2025,Honda,"BMW R1200GS / R1250GS / F850GS, KTM 1290 Super Adventure / 890 Adventure, Honda Africa Twin / CRF300L, Yamaha Ténéré 700, Triumph Tiger 900 / 1200, Suzuki V-Strom 650, Kawasaki KLR650","Front, Rear",880485
